0;2688;548;12002943,36;
1;2856;420;12003020,96;
2;2839;512;12003021,84;
3;2755;416;12002942,4;
4;2755;516;12002955,08;
5;2887;464;12002816,36;
6;2802;496;12002968,16;
7;2841;492;12002932,84;
0;2548;288;12002943,44;
1;2702;220;12003020,92;
2;2685;284;12003022,08;
3;2600;216;12002942,32;
4;2608;282;12002955;
5;2731;232;12002816,08;
6;2649;256;12002967,88;
7;2689;258;12002933;
0;2405;180;12002943,08;
1;2549;144;12003021,32;
2;2534;192;12003021,84;
3;2447;146;12002941,92;
4;2460;188;12002954,76;
5;2572;150;12002815,92;
6;2494;160;12002968,44;
7;2536;166;12002932,92;
0;2255;172;12002942,92;
1;2388;160;12003020,76;
2;2373;200;12003021,92;
3;2287;184;12002941,92;
4;2304;196;12002954,76;
5;2411;176;12002815,68;
6;2332;172;12002968,24;
7;2376;176;12002933,08;
0;2109;248;12002943;
1;2228;276;12003021,4;
2;2215;292;12003022,4;
3;2129;310;12002941,76;
4;2153;292;12002955,48;
5;2250;284;12002815,76;
6;2173;276;12002967,68;
7;2220;274;12002932,92;
0;1956;400;12002943;
1;2071;448;12003021,4;
2;2060;424;12003021,68;
3;1968;500;12002941,76;
4;1994;440;12002955,16;
5;2089;452;12002815,92;
6;2009;440;12002967,52;
7;2063;432;12002932,72;
0;1803;608;12002943,28;
1;1904;672;12003020,64;
2;1891;632;12003021,6;
3;1808;760;12002942,32;
4;1840;640;12002955,32;
5;1919;680;12002816,16;
6;1848;664;12002967,52;
7;1894;652;12002933;
0;1653;844;12002942,76;
1;1742;920;12003020,84;
2;1731;876;12003022,16;
3;1650;1048;12002941,68;
4;1683;880;12002955,36;
5;1757;944;12002816,16;
6;1688;928;12002968,4;
7;1735;912;12002933,32;
0;1501;1100;12002942,6;
1;1582;1184;12003020,76;
2;1574;1136;12003022,4;
3;1491;1368;12002942,44;
4;1528;1128;12002955;
5;1597;1216;12002816;
6;1532;1208;12002968,12;
7;1576;1184;12002933,24;
0;1350;1344;12002943;
1;1417;1436;12003020,64;
2;1408;1368;12003021,68;
3;1333;1664;12002942,32;
4;1370;1360;12002955,24;
5;1431;1480;12002816,4;
6;1371;1440;12002968,4;
7;1416;1432;12002932,84;
0;1194;1528;12002942,52;
1;1254;1632;12003021,08;
2;1247;1516;12003021,72;
3;1170;1880;12002942,28;
4;1213;1520;12002955,16;
5;1270;1664;12002815,56;
6;1209;1644;12002967,92;
7;1254;1612;12002932,92;
0;1040;1616;12002943,28;
1;1088;1716;12003021;
2;1084;1560;12003022,08;
3;1012;1920;12002941,76;
4;1053;1564;12002954,92;
5;1102;1744;12002816,36;
6;1046;1744;12002967,52;
7;1091;1676;12002932,76;
0;883;1552;12002942,76;
1;922;1632;12003020,64;
2;920;1472;12003022;
3;848;1848;12002941,84;
4;892;1456;12002954,68;
5;935;1648;12002815,56;
6;882;1696;12002968,08;
7;927;1592;12002933,24;
